id,group,minTime,penalty
85898,4711,0,220.0
85657,4700,0,120.0
85899,4706,0,220.0
85775,4703,0,320.0
85655,4700,30,270.0
85897,4707,0,320.0
85892,4705,0,270.0
85891,4705,0,220.0
85885,4701,0,270.0
85883,4701,0,220.0
85884,4701,0,320.0
85881,4702,0,370.0
85882,4702,0,120.0
85799,4706,0,370.0
85677,4705,0,270.0
85674,4704,0,320.0
85795,4706,0,70.0
85796,4706,0,120.0
85672,4710,0,270.0
85794,4706,0,70.0
85669,4710,0,270.0
85662,4704,0,320.0
85660,4704,0,320.0
85696,4701,0,270.0
85694,4701,0,120.0
85692,4708,0,70.0
85693,4701,0,220.0
85690,4708,0,220.0
85689,4708,0,320.0
85685,4712,0,70.0
85914,4713,0,170.0
85903,4706,0,120.0
85929,4707,0,220.0
85926,4707,0,170.0
85812,4707,0,70.0
85813,4707,0,220.0
85915,4713,0,220.0
85916,4713,0,320.0
85803,4706,0,120.0
85804,4706,0,70.0
85923,4709,0,70.0
85829,4710,0,120.0
85836,4710,0,170.0
85837,4710,0,320.0
85834,4710,0,320.0
85714,4714,0,120.0
85835,4710,0,370.0
85832,4710,0,70.0
85831,4710,0,220.0
85938,4713,0,270.0
85703,4701,0,370.0
85941,4713,0,270.0
85729,4703,0,370.0
85737,4703,0,120.0
85735,4703,0,170.0
85736,4703,0,220.0
85733,4703,0,70.0
85854,4708,0,220.0
85734,4703,0,370.0
85855,4708,0,220.0
85852,4708,0,120.0
85726,4703,0,320.0
85847,4704,0,270.0
85848,4704,0,220.0
85725,4703,0,370.0
85841,4704,0,320.0
85721,4701,0,220.0
85755,4704,0,370.0
85754,4700,0,70.0
85870,4707,0,270.0
85750,4700,0,120.0
85869,4707,0,370.0
85868,4705,0,220.0
85865,4705,0,320.0
85863,4705,0,220.0
