id,group,minTime,penalty
3280,196,30,4.0
3321,196,0,4.0
3288,196,30,24.0
3320,198,0,0.0
3287,201,0,9.0
3286,198,0,10.0
3285,204,60,31.0
3284,193,30,29.0
3283,199,60,5.0
3282,203,60,0.0
3281,194,30,15.0
3318,204,60,46.0
3317,194,60,11.0
3316,192,0,0.0
3315,196,30,5.0
3313,204,60,4.0
3312,193,30,24.0
3311,196,30,29.0
3319,195,0,35.0
3291,199,0,8.0
3290,202,60,0.0
3211,197,60,14.0
3299,192,60,46.0
3133,197,60,40.0
3298,200,30,44.0
3297,197,60,17.0
3296,204,60,27.0
3295,200,30,17.0
3294,197,60,23.0
3293,200,30,9.0
3292,194,60,30.0
3207,195,60,21.0
3206,192,0,31.0
3205,198,60,11.0
3326,199,60,3.0
3204,198,0,8.0
3325,204,60,34.0
3203,197,30,4.0
3324,200,0,9.0
3202,197,60,26.0
3323,198,60,37.0
3322,193,0,33.0
3289,200,0,47.0
3209,194,0,47.0
3219,193,60,12.0
3218,199,60,27.0
3216,196,0,11.0
3215,193,60,20.0
3214,204,60,30.0
3213,198,0,28.0
3212,200,60,5.0
3310,194,0,29.0
3198,193,30,47.0
3274,204,60,40.0
3194,197,30,45.0
3193,197,0,3.0
3307,199,0,0.0
3306,193,0,10.0
3305,197,30,9.0
3303,194,30,47.0
3302,192,0,25.0
3301,193,30,13.0
3268,204,0,33.0
3300,194,0,29.0
3309,203,0,14.0
3308,203,60,32.0
