employee,activity,group,priority
244603,85881,4702,6.0
244603,85799,4706,3.0
244603,85655,4700,4.0
244603,85794,4706,3.0
244603,85750,4700,4.0
244603,85803,4706,3.0
244603,85835,4710,3.0
244603,85868,4705,3.0
244603,85863,4705,3.0
244603,85669,4710,3.0
244603,85795,4706,3.0
244603,85829,4710,3.0
244603,85672,4710,3.0
244603,85899,4706,3.0
244603,85834,4710,3.0
244603,85677,4705,3.0
244603,85796,4706,3.0
244603,85804,4706,3.0
244603,85657,4700,4.0
244603,85837,4710,3.0
244603,85903,4706,3.0
244603,85832,4710,3.0
244603,85891,4705,3.0
244603,85754,4700,4.0
244603,85898,4711,5.0
244603,85714,4714,6.0
244603,85882,4702,6.0
244603,85831,4710,3.0
244603,85836,4710,3.0
244603,85892,4705,3.0
244603,85865,4705,3.0
244569,85903,4706,4.0
244569,85799,4706,4.0
244569,85794,4706,4.0
244569,85803,4706,4.0
244569,85916,4713,6.0
244569,85795,4706,4.0
244569,85941,4713,6.0
244569,85915,4713,6.0
244569,85899,4706,4.0
244569,85914,4713,6.0
244569,85796,4706,4.0
244569,85804,4706,4.0
244569,85938,4713,6.0
244602,85903,4706,3.0
244602,85799,4706,3.0
244602,85794,4706,3.0
244602,85803,4706,3.0
244602,85868,4705,4.0
244602,85891,4705,4.0
244602,85916,4713,3.0
244602,85863,4705,4.0
244602,85795,4706,3.0
244602,85941,4713,3.0
244602,85915,4713,3.0
244602,85899,4706,3.0
244602,85914,4713,3.0
244602,85677,4705,4.0
244602,85892,4705,4.0
244602,85796,4706,3.0
244602,85804,4706,3.0
244602,85865,4705,4.0
244602,85938,4713,3.0
244568,85881,4702,2.0
244568,85799,4706,4.0
244568,85655,4700,2.0
244568,85794,4706,4.0
244568,85750,4700,2.0
244568,85803,4706,4.0
244568,85835,4710,1.0
244568,85868,4705,6.0
244568,85863,4705,6.0
244568,85669,4710,1.0
244568,85795,4706,4.0
244568,85923,4709,6.0
244568,85829,4710,1.0
244568,85672,4710,1.0
244568,85899,4706,4.0
244568,85834,4710,1.0
244568,85677,4705,6.0
244568,85796,4706,4.0
244568,85804,4706,4.0
244568,85657,4700,2.0
244568,85837,4710,1.0
244568,85903,4706,4.0
244568,85832,4710,1.0
244568,85891,4705,6.0
244568,85754,4700,2.0
244568,85898,4711,4.0
244568,85714,4714,3.0
244568,85882,4702,2.0
244568,85831,4710,1.0
244568,85836,4710,1.0
244568,85892,4705,6.0
244568,85865,4705,6.0
244601,85737,4703,6.0
244601,85736,4703,6.0
244601,85735,4703,6.0
244601,85729,4703,6.0
244601,85734,4703,6.0
244601,85775,4703,6.0
244601,85726,4703,6.0
244601,85725,4703,6.0
244601,85733,4703,6.0
244600,85829,4710,2.0
244600,85847,4704,0.0
244600,85672,4710,2.0
244600,85660,4704,0.0
244600,85848,4704,0.0
244600,85841,4704,0.0
244600,85831,4710,2.0
244600,85755,4704,0.0
244600,85834,4710,2.0
244600,85836,4710,2.0
244600,85832,4710,2.0
244600,85835,4710,2.0
244600,85662,4704,0.0
244600,85669,4710,2.0
244600,85674,4704,0.0
244600,85837,4710,2.0
244567,85881,4702,6.0
244567,85655,4700,3.0
244567,85750,4700,3.0
244567,85832,4710,3.0
244567,85835,4710,3.0
244567,85868,4705,5.0
244567,85891,4705,5.0
244567,85863,4705,5.0
244567,85754,4700,3.0
244567,85669,4710,3.0
244567,85898,4711,0.0
244567,85829,4710,3.0
244567,85714,4714,0.0
244567,85672,4710,3.0
244567,85882,4702,6.0
244567,85831,4710,3.0
244567,85834,4710,3.0
244567,85836,4710,3.0
244567,85677,4705,5.0
244567,85892,4705,5.0
244567,85657,4700,3.0
244567,85837,4710,3.0
244567,85865,4705,5.0
244566,85881,4702,6.0
244566,85799,4706,2.0
244566,85655,4700,4.0
244566,85737,4703,1.0
244566,85794,4706,2.0
244566,85750,4700,4.0
244566,85803,4706,2.0
244566,85835,4710,2.0
244566,85868,4705,1.0
244566,85736,4703,1.0
244566,85863,4705,1.0
244566,85669,4710,2.0
244566,85795,4706,2.0
244566,85735,4703,1.0
244566,85829,4710,2.0
244566,85729,4703,1.0
244566,85672,4710,2.0
244566,85734,4703,1.0
244566,85899,4706,2.0
244566,85834,4710,2.0
244566,85677,4705,1.0
244566,85796,4706,2.0
244566,85725,4703,1.0
244566,85804,4706,2.0
244566,85733,4703,1.0
244566,85657,4700,4.0
244566,85837,4710,2.0
244566,85903,4706,2.0
244566,85832,4710,2.0
244566,85891,4705,1.0
244566,85754,4700,4.0
244566,85898,4711,1.0
244566,85714,4714,4.0
244566,85882,4702,6.0
244566,85775,4703,1.0
244566,85831,4710,2.0
244566,85836,4710,2.0
244566,85726,4703,1.0
244566,85892,4705,1.0
244566,85865,4705,1.0
244565,85898,4711,7.0
244564,85813,4707,6.0
244564,85812,4707,6.0
244564,85799,4706,2.0
244564,85855,4708,3.0
244564,85794,4706,2.0
244564,85803,4706,2.0
244564,85689,4708,3.0
244564,85870,4707,6.0
244564,85795,4706,2.0
244564,85690,4708,3.0
244564,85685,4712,1.0
244564,85899,4706,2.0
244564,85692,4708,3.0
244564,85796,4706,2.0
244564,85804,4706,2.0
244564,85926,4707,6.0
244564,85938,4713,0.0
244564,85903,4706,2.0
244564,85852,4708,3.0
244564,85897,4707,6.0
244564,85916,4713,0.0
244564,85929,4707,6.0
244564,85941,4713,0.0
244564,85869,4707,6.0
244564,85854,4708,3.0
244564,85915,4713,0.0
244564,85914,4713,0.0
244563,85881,4702,2.0
244563,85898,4711,4.0
244563,85882,4702,2.0
244563,85655,4700,4.0
244563,85750,4700,4.0
244563,85868,4705,3.0
244563,85891,4705,3.0
244563,85677,4705,3.0
244563,85892,4705,3.0
244563,85863,4705,3.0
244563,85754,4700,4.0
244563,85657,4700,4.0
244563,85865,4705,3.0
244609,85799,4706,6.0
244609,85855,4708,6.0
244609,85737,4703,5.0
244609,85794,4706,6.0
244609,85803,4706,6.0
244609,85736,4703,5.0
244609,85689,4708,6.0
