activity,day,from,to,demand
85655,20241021,00:00,23:59,570
85750,20241021,00:00,23:59,1125
85754,20241021,00:00,23:59,240
85657,20241021,09:30,09:45,15
85657,20241021,09:45,10:00,15
85657,20241021,10:00,10:15,15
85657,20241021,10:15,10:30,15
85657,20241021,10:30,10:45,15
85657,20241021,10:45,11:00,15
85657,20241021,11:00,11:15,15
85657,20241021,11:15,11:30,15
85657,20241021,11:30,11:45,15
85657,20241021,11:45,12:00,15
85657,20241021,12:00,12:15,15
85657,20241021,12:15,12:30,15
85657,20241021,12:30,12:45,15
85657,20241021,12:45,13:00,15
85657,20241021,13:00,13:15,15
85657,20241021,13:15,13:30,15
85657,20241021,15:30,15:45,15
85657,20241021,15:45,16:00,15
85657,20241021,16:00,16:15,15
85657,20241021,16:15,16:30,15
85657,20241021,16:30,16:45,15
85657,20241021,16:45,17:00,15
85657,20241021,17:00,17:15,15
85657,20241021,17:15,17:30,15
85657,20241021,17:30,17:45,15
85657,20241021,17:45,18:00,15
85657,20241021,18:00,18:15,15
85657,20241021,18:15,18:30,15
85657,20241021,18:30,18:45,15
85657,20241021,18:45,19:00,15
85657,20241021,19:00,19:15,15
85657,20241021,19:15,19:30,15
85657,20241021,19:30,19:45,15
85657,20241021,19:45,20:00,15
85657,20241021,20:00,20:15,15
85657,20241021,20:15,20:30,15
85657,20241021,20:30,20:45,15
85703,20241021,00:00,23:59,15
85721,20241021,00:00,23:59,180
85693,20241021,00:00,23:59,75
85694,20241021,00:00,23:59,30
85696,20241021,00:00,23:59,360
85883,20241021,00:00,23:59,135
85884,20241021,09:00,09:15,15
85884,20241021,09:15,09:30,15
85884,20241021,09:30,09:45,15
85884,20241021,09:45,10:00,15
85884,20241021,10:00,10:15,15
85884,20241021,10:15,10:30,15
85884,20241021,10:30,10:45,15
85884,20241021,10:45,11:00,15
85884,20241021,11:00,11:15,15
85884,20241021,11:15,11:30,15
85884,20241021,11:30,11:45,15
85884,20241021,11:45,12:00,15
85884,20241021,12:00,12:15,15
85884,20241021,12:15,12:30,15
85884,20241021,12:30,12:45,15
85884,20241021,12:45,13:00,15
85884,20241021,13:00,13:15,15
85884,20241021,13:15,13:30,15
85884,20241021,13:30,13:45,15
85884,20241021,13:45,14:00,15
85884,20241021,14:00,14:15,15
85884,20241021,14:15,14:30,15
85884,20241021,14:30,14:45,15
85884,20241021,14:45,15:00,15
85884,20241021,15:00,15:15,15
85884,20241021,15:15,15:30,15
85884,20241021,15:30,15:45,15
85884,20241021,15:45,16:00,15
85884,20241021,16:00,16:15,15
85884,20241021,16:15,16:30,15
85884,20241021,16:30,16:45,15
85884,20241021,16:45,17:00,15
85884,20241021,17:00,17:15,15
85884,20241021,17:15,17:30,15
85884,20241021,17:30,17:45,15
85884,20241021,17:45,18:00,15
85884,20241021,18:00,18:15,15
85884,20241021,18:15,18:30,15
85884,20241021,18:30,18:45,15
85884,20241021,18:45,19:00,15
85884,20241021,19:00,19:15,15
85884,20241021,19:15,19:30,15
85884,20241021,19:30,19:45,15
85884,20241021,19:45,20:00,15
85884,20241021,20:00,20:15,15
85884,20241021,20:15,20:30,15
85885,20241021,00:00,23:59,15
85881,20241021,00:00,23:59,105
85882,20241021,09:00,09:15,15
85882,20241021,09:15,09:30,15
85882,20241021,09:30,09:45,30
85882,20241021,09:45,10:00,30
85882,20241021,10:00,10:15,60
85882,20241021,10:15,10:30,60
85882,20241021,10:30,10:45,45
85882,20241021,10:45,11:00,45
85882,20241021,11:00,11:15,45
85882,20241021,11:15,11:30,45
85882,20241021,11:30,11:45,45
85882,20241021,11:45,12:00,45
85882,20241021,12:00,12:15,45
85882,20241021,12:15,12:30,45
85882,20241021,12:30,12:45,45
85882,20241021,12:45,13:00,45
85882,20241021,13:00,13:15,30
85882,20241021,13:15,13:30,30
85882,20241021,13:30,13:45,30
85882,20241021,13:45,14:00,30
85882,20241021,14:00,14:15,15
85882,20241021,14:15,14:30,15
85882,20241021,14:30,14:45,30
85882,20241021,14:45,15:00,30
85882,20241021,15:00,15:15,30
85882,20241021,15:15,15:30,30
85882,20241021,15:30,15:45,30
85882,20241021,15:45,16:00,30
85882,20241021,16:00,16:15,45
85882,20241021,16:15,16:30,45
85882,20241021,16:30,16:45,45
85882,20241021,16:45,17:00,45
85882,20241021,17:00,17:15,60
85882,20241021,17:15,17:30,60
85882,20241021,17:30,17:45,60
85882,20241021,17:45,18:00,60
85882,20241021,18:00,18:15,60
85882,20241021,18:15,18:30,60
85882,20241021,18:30,18:45,45
85882,20241021,18:45,19:00,45
85882,20241021,19:00,19:15,45
85882,20241021,19:15,19:30,45
85882,20241021,19:30,19:45,30
85882,20241021,19:45,20:00,30
85882,20241021,20:00,20:15,15
85882,20241021,20:15,20:30,15
85714,20241021,00:00,23:59,390
85938,20241021,00:00,23:59,390
85941,20241021,00:00,23:59,15
85914,20241021,00:00,23:59,45
85915,20241021,00:00,23:59,180
85916,20241021,00:00,23:59,30
85775,20241021,00:00,23:59,45
85725,20241021,00:00,23:59,30
85726,20241021,00:00,23:59,120
85729,20241021,00:00,23:59,525
85733,20241021,00:00,23:59,480
85735,20241021,00:00,23:59,255
85736,20241021,09:00,09:15,30
85736,20241021,09:15,09:30,30
85736,20241021,09:30,09:45,45
85736,20241021,09:45,10:00,45
85736,20241021,10:00,10:15,30
85736,20241021,10:15,10:30,30
85736,20241021,10:30,10:45,45
85736,20241021,10:45,11:00,45
85736,20241021,11:00,11:15,30
85736,20241021,11:15,11:30,30
85736,20241021,11:30,11:45,30
85736,20241021,11:45,12:00,30
85736,20241021,12:00,12:15,30
85736,20241021,12:15,12:30,30
85736,20241021,12:30,12:45,30
85736,20241021,12:45,13:00,30
85736,20241021,13:00,13:15,30
85736,20241021,13:15,13:30,30
85736,20241021,13:30,13:45,30
85736,20241021,13:45,14:00,30
85736,20241021,14:00,14:15,15
85736,20241021,14:15,14:30,15
85736,20241021,14:30,14:45,15
85736,20241021,14:45,15:00,15
85736,20241021,15:00,15:15,30
85736,20241021,15:15,15:30,30
85736,20241021,15:30,15:45,30
85736,20241021,15:45,16:00,30
85736,20241021,16:00,16:15,30
85736,20241021,16:15,16:30,30
85736,20241021,16:30,16:45,30
85736,20241021,16:45,17:00,30
85736,20241021,17:00,17:15,30
85736,20241021,17:15,17:30,30
85736,20241021,17:30,17:45,30
85736,20241021,17:45,18:00,30
85736,20241021,18:00,18:15,45
85736,20241021,18:15,18:30,45
85736,20241021,18:30,18:45,30
85736,20241021,18:45,19:00,30
85736,20241021,19:00,19:15,30
85736,20241021,19:15,19:30,30
85736,20241021,19:30,19:45,30
85736,20241021,19:45,20:00,30
85736,20241021,20:00,20:15,15
85736,20241021,20:15,20:30,15
85737,20241021,00:00,23:59,90
85841,20241021,00:00,23:59,330
85755,20241021,00:00,23:59,690
85847,20241021,00:00,23:59,270
85848,20241021,00:00,23:59,480
85660,20241021,00:00,23:59,150
85662,20241021,00:00,23:59,165
85674,20241021,00:00,23:59,90
85863,20241021,00:00,23:59,45
85677,20241021,00:00,23:59,75
85865,20241021,00:00,23:59,150
85891,20241021,00:00,23:59,60
85892,20241021,00:00,23:59,30
85868,20241021,00:00,23:59,855
85899,20241021,00:00,23:59,30
85794,20241021,00:00,23:59,15
85795,20241021,00:00,23:59,30
85796,20241021,00:00,23:59,360
85799,20241021,00:00,23:59,285
85803,20241021,00:00,23:59,360
85903,20241021,09:00,09:15,15
85903,20241021,09:15,09:30,15
85903,20241021,09:30,09:45,30
85903,20241021,09:45,10:00,30
85903,20241021,10:00,10:15,15
85903,20241021,10:15,10:30,15
85903,20241021,10:30,10:45,15
85903,20241021,10:45,11:00,15
85903,20241021,11:00,11:15,15
85903,20241021,11:15,11:30,15
85903,20241021,11:30,11:45,15
85903,20241021,11:45,12:00,15
85903,20241021,12:00,12:15,15
85903,20241021,12:15,12:30,15
85903,20241021,12:30,12:45,15
85903,20241021,12:45,13:00,15
85903,20241021,13:00,13:15,15
85903,20241021,13:15,13:30,15
85903,20241021,13:30,13:45,15
85903,20241021,13:45,14:00,15
85903,20241021,14:00,14:15,15
85903,20241021,14:15,14:30,15
85903,20241021,14:30,14:45,15
85903,20241021,14:45,15:00,15
85903,20241021,15:00,15:15,15
85903,20241021,15:15,15:30,15
85903,20241021,15:30,15:45,15
85903,20241021,15:45,16:00,15
85903,20241021,16:00,16:15,15
85903,20241021,16:15,16:30,15
85903,20241021,16:30,16:45,15
85903,20241021,16:45,17:00,15
85903,20241021,17:00,17:15,15
85903,20241021,17:15,17:30,15
85903,20241021,17:30,17:45,15
85903,20241021,17:45,18:00,15
85903,20241021,18:00,18:15,15
85903,20241021,18:15,18:30,15
85903,20241021,18:30,18:45,15
85903,20241021,18:45,19:00,15
85903,20241021,19:00,19:15,15
85903,20241021,19:15,19:30,15
85903,20241021,19:30,19:45,15
85903,20241021,19:45,20:00,15
85903,20241021,20:00,20:15,15
85903,20241021,20:15,20:30,15
85804,20241021,00:00,23:59,15
85897,20241021,00:00,23:59,15
85926,20241021,00:00,23:59,30
85869,20241021,00:00,23:59,225
85870,20241021,00:00,23:59,135
85812,20241021,00:00,23:59,60
85929,20241021,09:00,09:15,15
85929,20241021,09:15,09:30,15
85929,20241021,09:30,09:45,15
85929,20241021,09:45,10:00,15
85929,20241021,10:00,10:15,15
85929,20241021,10:15,10:30,15
85929,20241021,10:30,10:45,15
85929,20241021,10:45,11:00,15
85929,20241021,11:00,11:15,15
85929,20241021,11:15,11:30,15
85929,20241021,11:30,11:45,15
85929,20241021,11:45,12:00,15
85929,20241021,12:00,12:15,15
85929,20241021,12:15,12:30,15
85929,20241021,12:30,12:45,15
85929,20241021,12:45,13:00,15
85929,20241021,13:00,13:15,15
85929,20241021,13:15,13:30,15
85929,20241021,13:30,13:45,15
85929,20241021,13:45,14:00,15
85929,20241021,14:00,14:15,15
85929,20241021,14:15,14:30,15
85929,20241021,14:30,14:45,15
85929,20241021,14:45,15:00,15
85929,20241021,15:00,15:15,15
85929,20241021,15:15,15:30,15
85929,20241021,15:30,15:45,15
85929,20241021,15:45,16:00,15
85929,20241021,16:00,16:15,15
85929,20241021,16:15,16:30,15
85929,20241021,16:30,16:45,15
85929,20241021,16:45,17:00,15
85929,20241021,17:00,17:15,15
85929,20241021,17:15,17:30,15
85929,20241021,17:30,17:45,15
85929,20241021,17:45,18:00,15
85929,20241021,18:00,18:15,15
85929,20241021,18:15,18:30,15
85929,20241021,18:30,18:45,15
85929,20241021,18:45,19:00,15
85929,20241021,19:00,19:15,15
85929,20241021,19:15,19:30,15
85929,20241021,19:30,19:45,15
85929,20241021,19:45,20:00,15
85929,20241021,20:00,20:15,15
85929,20241021,20:15,20:30,15
85813,20241021,00:00,23:59,15
85689,20241021,00:00,23:59,15
85690,20241021,00:00,23:59,105
85692,20241021,00:00,23:59,195
85854,20241021,00:00,23:59,75
85855,20241021,00:00,23:59,60
85923,20241021,00:00,23:59,555
85829,20241021,00:00,23:59,255
85831,20241021,00:00,23:59,615
85832,20241021,00:00,23:59,180
85835,20241021,00:00,23:59,420
85836,20241021,00:00,23:59,105
85837,20241021,00:00,23:59,210
85898,20241021,00:00,23:59,930
85685,20241021,00:00,23:59,30
85655,20241022,00:00,23:59,570
85750,20241022,00:00,23:59,1125
85754,20241022,00:00,23:59,60
85657,20241022,09:30,09:45,15
85657,20241022,09:45,10:00,15
85657,20241022,10:00,10:15,15
85657,20241022,10:15,10:30,15
85657,20241022,10:30,10:45,15
85657,20241022,10:45,11:00,15
85657,20241022,11:00,11:15,15
85657,20241022,11:15,11:30,15
85657,20241022,11:30,11:45,15
85657,20241022,11:45,12:00,15
85657,20241022,12:00,12:15,15
85657,20241022,12:15,12:30,15
85657,20241022,12:30,12:45,15
85657,20241022,12:45,13:00,15
85657,20241022,13:00,13:15,15
85657,20241022,13:15,13:30,15
85657,20241022,15:30,15:45,15
85657,20241022,15:45,16:00,15
85657,20241022,16:00,16:15,15
85657,20241022,16:15,16:30,15
85657,20241022,16:30,16:45,15
85657,20241022,16:45,17:00,15
85657,20241022,17:00,17:15,15
85657,20241022,17:15,17:30,15
85657,20241022,17:30,17:45,15
85657,20241022,17:45,18:00,15
85657,20241022,18:00,18:15,15
85657,20241022,18:15,18:30,15
85657,20241022,18:30,18:45,15
85657,20241022,18:45,19:00,15
85657,20241022,19:00,19:15,15
85657,20241022,19:15,19:30,15
85657,20241022,19:30,19:45,15
85657,20241022,19:45,20:00,15
85657,20241022,20:00,20:15,15
85657,20241022,20:15,20:30,15
85657,20241022,20:30,20:45,15
85703,20241022,00:00,23:59,15
85721,20241022,00:00,23:59,180
85693,20241022,00:00,23:59,45
85694,20241022,00:00,23:59,15
85696,20241022,00:00,23:59,240
85883,20241022,00:00,23:59,135
85884,20241022,09:00,09:15,15
85884,20241022,09:15,09:30,15
85884,20241022,09:30,09:45,15
85884,20241022,09:45,10:00,15
85884,20241022,10:00,10:15,15
85884,20241022,10:15,10:30,15
85884,20241022,10:30,10:45,15
85884,20241022,10:45,11:00,15
85884,20241022,11:00,11:15,15
85884,20241022,11:15,11:30,15
85884,20241022,11:30,11:45,15
85884,20241022,11:45,12:00,15
85884,20241022,12:00,12:15,15
85884,20241022,12:15,12:30,15
85884,20241022,12:30,12:45,15
85884,20241022,12:45,13:00,15
85884,20241022,13:00,13:15,15
85884,20241022,13:15,13:30,15
85884,20241022,13:30,13:45,15
85884,20241022,13:45,14:00,15
85884,20241022,14:00,14:15,15
85884,20241022,14:15,14:30,15
85884,20241022,14:30,14:45,15
85884,20241022,14:45,15:00,15
85884,20241022,15:00,15:15,15
85884,20241022,15:15,15:30,15
85884,20241022,15:30,15:45,15
85884,20241022,15:45,16:00,15
85884,20241022,16:00,16:15,15
85884,20241022,16:15,16:30,15
85884,20241022,16:30,16:45,15
85884,20241022,16:45,17:00,15
85884,20241022,17:00,17:15,15
85884,20241022,17:15,17:30,15
85884,20241022,17:30,17:45,15
85884,20241022,17:45,18:00,15
85884,20241022,18:00,18:15,15
85884,20241022,18:15,18:30,15
85884,20241022,18:30,18:45,15
85884,20241022,18:45,19:00,15
85884,20241022,19:00,19:15,15
85884,20241022,19:15,19:30,15
85884,20241022,19:30,19:45,15
85884,20241022,19:45,20:00,15
85885,20241022,00:00,23:59,15
85881,20241022,00:00,23:59,105
85882,20241022,09:00,09:15,15
85882,20241022,09:15,09:30,15
85882,20241022,09:30,09:45,30
85882,20241022,09:45,10:00,30
85882,20241022,10:00,10:15,60
85882,20241022,10:15,10:30,60
85882,20241022,10:30,10:45,60
85882,20241022,10:45,11:00,60
85882,20241022,11:00,11:15,60
85882,20241022,11:15,11:30,60
85882,20241022,11:30,11:45,60
85882,20241022,11:45,12:00,60
85882,20241022,12:00,12:15,30
85882,20241022,12:15,12:30,30
85882,20241022,12:30,12:45,45
85882,20241022,12:45,13:00,45
85882,20241022,13:00,13:15,30
85882,20241022,13:15,13:30,30
85882,20241022,13:30,13:45,30
85882,20241022,13:45,14:00,30
85882,20241022,14:00,14:15,30
85882,20241022,14:15,14:30,30
85882,20241022,14:30,14:45,30
85882,20241022,14:45,15:00,30
85882,20241022,15:00,15:15,30
85882,20241022,15:15,15:30,30
85882,20241022,15:30,15:45,45
85882,20241022,15:45,16:00,45
85882,20241022,16:00,16:15,45
85882,20241022,16:15,16:30,45
85882,20241022,16:30,16:45,45
85882,20241022,16:45,17:00,45
85882,20241022,17:00,17:15,60
85882,20241022,17:15,17:30,60
85882,20241022,17:30,17:45,45
85882,20241022,17:45,18:00,45
85882,20241022,18:00,18:15,45
85882,20241022,18:15,18:30,45
85882,20241022,18:30,18:45,45
85882,20241022,18:45,19:00,45
85882,20241022,19:00,19:15,45
85882,20241022,19:15,19:30,45
85882,20241022,19:30,19:45,30
85882,20241022,19:45,20:00,30
85882,20241022,20:00,20:15,15
85882,20241022,20:15,20:30,15
85714,20241022,00:00,23:59,390
85938,20241022,00:00,23:59,390
85941,20241022,00:00,23:59,45
85914,20241022,00:00,23:59,75
85915,20241022,00:00,23:59,180
85916,20241022,00:00,23:59,30
85775,20241022,00:00,23:59,45
85725,20241022,00:00,23:59,30
85726,20241022,00:00,23:59,45
85729,20241022,00:00,23:59,270
85733,20241022,00:00,23:59,405
85734,20241022,00:00,23:59,60
85735,20241022,00:00,23:59,255
85736,20241022,09:00,09:15,30
85736,20241022,09:15,09:30,30
85736,20241022,09:30,09:45,30
