id,dailyWorkingHours,weeklyWorkingHours,workingDays,maxConsecutiveWorkingDays,maxShiftSpan,minRestBetweenDays,daysSinceLastOff,lastWorkingHour
244597,7,20,3,5,13,11,0,18:15
244598,6,20,4,5,13,11,0,11:30
244599,4,24,6,5,13,11,0,19:00
244600,7,38,6,5,13,11,0,18:15
244544,8,45,6,5,13,11,0,19:15
244545,5,25,6,5,13,11,0,13:00
244546,5,30,6,5,13,11,0,19:15
244547,5,30,6,5,13,11,0,12:45
244548,5,24,5,5,13,11,0,14:30
244549,4,19,5,5,13,11,0,15:00
244550,6,18,3,5,13,11,0,11:15
244551,7,38,6,5,13,11,0,21:00
244552,8,30,4,5,13,11,0,15:15
244553,5,30,6,5,13,11,0,21:30
244554,7,38,6,5,13,11,0,20:00
244555,7,30,5,5,13,11,0,12:15
244556,7,38,6,5,13,11,0,17:00
244557,8,30,4,5,13,11,0,18:30
244558,5,19,4,5,13,11,0,19:45
244559,7,38,6,5,13,11,0,18:45
244560,6,25,5,5,13,11,0,12:45
244561,6,25,5,5,13,11,0,11:15
244562,4,19,5,5,13,11,0,16:30
244563,5,25,5,5,13,11,0,21:00
244564,7,38,6,5,13,11,0,14:45
244565,7,38,6,5,13,11,0,17:45
244566,5,24,5,5,13,11,0,13:30
244567,6,24,4,5,13,11,0,17:30
244568,4,19,5,5,13,11,0,20:15
244569,5,30,6,5,13,11,0,19:00
244570,5,25,6,5,13,11,0,19:00
244571,5,25,5,5,13,11,0,10:30
244572,5,24,5,5,13,11,0,13:30
244573,4,24,6,5,13,11,0,19:45
244574,6,20,4,5,13,11,0,09:30
244575,5,25,5,5,13,11,0,15:30
244576,5,24,5,5,13,11,0,13:00
244577,7,25,4,5,13,11,0,15:15
244578,7,40,6,5,13,11,0,12:45
244579,7,38,6,5,13,11,0,20:00
244580,8,16,2,5,13,11,0,20:15
244581,7,30,5,5,13,11,0,11:45
244582,7,24,4,5,13,11,0,19:30
244583,8,38,5,5,13,11,0,18:00
244584,7,24,4,5,13,11,0,15:30
244585,8,45,6,5,13,11,0,19:15
244601,7,24,4,5,13,11,0,21:00
244586,8,45,6,5,13,11,0,
244587,8,21,3,5,13,11,0,20:15
244588,7,38,6,5,13,11,0,04:00
244589,6,30,5,5,13,11,0,20:15
244590,7,38,6,5,13,11,0,16:45
244591,5,25,5,5,13,11,0,09:15
244592,8,25,4,5,13,11,0,
244593,8,45,6,5,13,11,0,15:45
244594,4,24,6,5,13,11,0,10:30
244595,7,25,4,5,13,11,0,13:00
244596,6,30,5,5,13,11,0,15:00
244602,8,30,4,5,13,11,0,15:00
244603,7,24,4,5,13,11,0,14:00
244604,8,45,6,5,13,11,0,17:00
244605,8,45,6,5,13,11,0,20:30
244606,6,24,4,5,13,11,0,19:45
244613,5,24,5,5,13,11,0,16:00
244614,7,38,6,5,13,11,0,22:00
244615,5,30,6,5,13,11,0,18:45
244616,4,20,5,5,13,11,0,18:00
244617,5,30,6,5,13,11,0,16:45
244618,7,38,6,5,13,11,0,18:30
244619,6,31,6,5,13,11,0,15:15
244620,7,30,5,5,13,11,0,17:00
244621,5,30,6,5,13,11,0,21:00
244622,5,30,6,5,13,11,0,16:30
244623,5,25,5,5,13,11,0,16:30
244624,7,38,6,5,13,11,0,14:45
244625,4,24,6,5,13,11,0,15:30
244626,8,25,4,5,13,11,0,19:30
244627,4,19,5,5,13,11,0,11:15
244628,5,30,6,5,13,11,0,20:15
244607,8,25,4,5,13,11,0,16:30
244608,7,30,5,5,13,11,0,17:45
244609,5,24,5,5,13,11,0,13:45
244610,7,38,6,5,13,11,0,16:30
244611,8,45,6,5,13,11,0,
244612,7,24,4,5,13,11,0,21:30
244629,4,24,6,5,13,11,0,18:30
244630,4,24,6,5,13,11,0,21:00
244631,4,20,5,5,13,11,0,16:30
