employee,activity,group,priority
1066,3321,196,0.0
1066,3296,204,0.0
1066,3313,204,0.0
1066,3274,204,0.0
1066,3325,204,0.0
1066,3207,195,0.0
1066,3311,196,0.0
1066,3318,204,0.0
1066,3280,196,0.0
1066,3319,195,0.0
1066,3214,204,0.0
1066,3315,196,0.0
1066,3216,196,0.0
1066,3288,196,0.0
1066,3268,204,0.0
1066,3285,204,0.0
1065,3302,192,0.0
1065,3206,192,0.0
1065,3319,195,0.0
1065,3207,195,0.0
1065,3299,192,0.0
1065,3316,192,0.0
1064,3302,192,0.0
1064,3206,192,0.0
1064,3319,195,0.0
1064,3207,195,0.0
1064,3299,192,0.0
1064,3316,192,0.0
1063,3302,192,0.0
1063,3206,192,0.0
1063,3319,195,0.0
1063,3207,195,0.0
1063,3299,192,0.0
1063,3316,192,0.0
1062,3319,195,0.0
1062,3207,195,0.0
1061,3326,199,0.0
1061,3291,199,0.0
1061,3307,199,0.0
1061,3218,199,0.0
1061,3283,199,0.0
1060,3301,193,0.0
1060,3215,193,0.0
1060,3306,193,0.0
1060,3312,193,0.0
1060,3198,193,0.0
1060,3219,193,0.0
1060,3284,193,0.0
1060,3322,193,0.0
1059,3202,197,0.0
1059,3305,197,0.0
1059,3296,204,0.0
1059,3313,204,0.0
1059,3274,204,0.0
1059,3203,197,0.0
1059,3325,204,0.0
1059,3193,197,0.0
1059,3297,197,0.0
1059,3318,204,0.0
1059,3294,197,0.0
1059,3194,197,0.0
1059,3211,197,0.0
1059,3133,197,0.0
1059,3214,204,0.0
1059,3268,204,0.0
1059,3285,204,0.0
1058,3302,192,0.0
1058,3206,192,0.0
1058,3319,195,0.0
1058,3207,195,0.0
1058,3299,192,0.0
1058,3316,192,0.0
1057,3302,192,0.0
1057,3206,192,0.0
1057,3299,192,0.0
1057,3316,192,0.0
1056,3319,195,0.0
1056,3207,195,0.0
1033,3321,196,0.0
1033,3296,204,0.0
1033,3313,204,0.0
1033,3274,204,0.0
1033,3309,203,0.0
1033,3325,204,0.0
1033,3311,196,0.0
1033,3318,204,0.0
1033,3280,196,0.0
1033,3214,204,0.0
1033,3315,196,0.0
1033,3282,203,0.0
1033,3216,196,0.0
1033,3288,196,0.0
1033,3268,204,0.0
1033,3308,203,0.0
1033,3285,204,0.0
1077,3298,200,0.0
1077,3296,204,0.0
1077,3313,204,0.0
1077,3274,204,0.0
1077,3325,204,0.0
1077,3207,195,0.0
1077,3318,204,0.0
1077,3319,195,0.0
1077,3214,204,0.0
1077,3324,200,0.0
1077,3295,200,0.0
1077,3268,204,0.0
1077,3293,200,0.0
1077,3289,200,0.0
1077,3285,204,0.0
1077,3212,200,0.0
1032,3302,192,0.0
1032,3206,192,0.0
1032,3290,202,0.0
1032,3299,192,0.0
1032,3316,192,0.0
1076,3194,197,0.0
1076,3211,197,0.0
1076,3294,197,0.0
1076,3202,197,0.0
1076,3133,197,0.0
1076,3305,197,0.0
1076,3203,197,0.0
1076,3193,197,0.0
1076,3297,197,0.0
1031,3302,192,0.0
1031,3206,192,0.0
1031,3319,195,0.0
