activity,day,from,to,demand
3299,20230508,00:00,23:59,240
3316,20230508,08:30,08:45,15
3316,20230508,08:45,09:00,15
3316,20230508,09:00,09:15,15
3316,20230508,09:15,09:30,15
3316,20230508,09:30,09:45,15
3316,20230508,09:45,10:00,15
3316,20230508,10:00,10:15,15
3316,20230508,10:15,10:30,15
3316,20230508,10:30,10:45,15
3316,20230508,10:45,11:00,15
3316,20230508,11:00,11:15,15
3316,20230508,11:15,11:30,15
3316,20230508,11:30,11:45,15
3316,20230508,11:45,12:00,15
3316,20230508,12:00,12:15,15
3316,20230508,12:15,12:30,15
3316,20230508,12:30,12:45,15
3316,20230508,12:45,13:00,15
3316,20230508,13:00,13:15,15
3316,20230508,13:15,13:30,15
3316,20230508,13:30,13:45,15
3316,20230508,13:45,14:00,15
3316,20230508,14:00,14:15,15
3316,20230508,14:15,14:30,15
3316,20230508,14:30,14:45,15
3316,20230508,14:45,15:00,15
3316,20230508,15:00,15:15,15
3316,20230508,15:15,15:30,15
3316,20230508,15:30,15:45,15
3316,20230508,15:45,16:00,15
3316,20230508,16:00,16:15,15
3316,20230508,16:15,16:30,15
3316,20230508,16:30,16:45,15
3316,20230508,16:45,17:00,15
3316,20230508,17:00,17:15,15
3316,20230508,17:15,17:30,15
3316,20230508,17:30,17:45,15
3316,20230508,17:45,18:00,15
3316,20230508,18:00,18:15,15
3316,20230508,18:15,18:30,15
3316,20230508,18:30,18:45,15
3316,20230508,18:45,19:00,15
3316,20230508,19:00,19:15,15
3316,20230508,19:15,19:30,15
3316,20230508,19:30,19:45,15
3316,20230508,19:45,20:00,15
3316,20230508,20:00,20:15,15
3316,20230508,20:15,20:30,15
3206,20230508,06:00,08:30,165
3302,20230508,08:30,08:45,15
3302,20230508,08:45,09:00,15
3302,20230508,09:00,09:15,15
3302,20230508,09:15,09:30,15
3302,20230508,09:30,09:45,15
3302,20230508,09:45,10:00,15
3302,20230508,10:00,10:15,15
3302,20230508,10:15,10:30,15
3302,20230508,10:30,10:45,15
3302,20230508,10:45,11:00,15
3302,20230508,11:00,11:15,15
3302,20230508,11:15,11:30,15
3302,20230508,11:30,11:45,15
3302,20230508,11:45,12:00,15
3302,20230508,12:00,12:15,15
3302,20230508,12:15,12:30,15
3302,20230508,12:30,12:45,15
3302,20230508,12:45,13:00,15
3302,20230508,13:00,13:15,15
3302,20230508,13:15,13:30,15
3302,20230508,13:30,13:45,15
3302,20230508,13:45,14:00,15
3302,20230508,14:00,14:15,15
3302,20230508,14:15,14:30,15
3302,20230508,14:30,14:45,15
3302,20230508,14:45,15:00,15
3302,20230508,15:00,15:15,15
3302,20230508,15:15,15:30,15
3302,20230508,15:30,15:45,15
3302,20230508,15:45,16:00,15
3302,20230508,16:00,16:15,15
3302,20230508,16:15,16:30,15
3302,20230508,16:30,16:45,15
3302,20230508,16:45,17:00,15
3302,20230508,17:00,17:15,15
3302,20230508,17:15,17:30,15
3302,20230508,17:30,17:45,15
3302,20230508,17:45,18:00,15
3302,20230508,18:00,18:15,15
3302,20230508,18:15,18:30,15
3302,20230508,18:30,18:45,15
3302,20230508,18:45,19:00,15
3302,20230508,19:00,19:15,15
3302,20230508,19:15,19:30,15
3302,20230508,19:30,19:45,15
3302,20230508,19:45,20:00,15
3302,20230508,20:00,20:15,15
3302,20230508,20:15,20:30,15
3209,20230508,06:00,08:30,38
3303,20230508,00:00,23:59,66
3310,20230508,06:30,07:30,15
3281,20230508,00:00,23:59,41
3317,20230508,00:00,23:59,235
3300,20230508,08:30,08:45,15
3300,20230508,08:45,09:00,15
3300,20230508,09:00,09:15,15
3300,20230508,09:15,09:30,15
3300,20230508,09:30,09:45,15
3300,20230508,09:45,10:00,15
3300,20230508,10:00,10:15,15
3300,20230508,10:15,10:30,15
