id,dailyWorkingHours,weeklyWorkingHours,workingDays,maxConsecutiveWorkingDays,maxShiftSpan,minRestBetweenDays,daysSinceLastOff,lastWorkingHour,demandCoveringCoef
1066,10,19,6,11,13,11,0,,1
1065,10,19,6,12,13,11,0,,1
1064,10,24,6,4,13,11,0,,1
1063,10,21,6,10,13,11,0,,1
1062,10,32,6,5,13,11,0,,1
1061,10,38,6,4,10,11,0,,1
1060,10,25,6,4,13,11,0,,1
1059,10,19,6,6,13,11,0,,1
1058,10,38,6,9,13,11,0,,1
1057,10,30,6,8,13,11,0,,1
1056,10,19,6,4,13,11,0,,1
1033,10,38,6,8,13,11,0,,1
1077,10,38,6,7,13,11,0,,1
1032,10,38,6,12,13,11,0,,1
1076,10,30,6,9,13,11,0,,1
1031,10,38,6,11,13,11,0,,1
1075,10,38,6,8,13,11,0,,1
1074,10,31,6,4,13,11,0,,1
1073,10,38,6,7,13,11,0,,1
1072,10,30,6,12,13,11,0,,1
1071,10,19,6,8,13,11,0,,1
1070,10,24,6,4,13,11,0,,1
1069,10,38,6,6,13,11,0,,1
1068,10,31,6,7,13,11,0,,1
1067,10,38,6,6,13,11,0,,1
1080,10,24,6,11,13,11,0,,1
1044,10,38,6,6,13,11,0,,1
1088,10,19,6,5,13,11,0,,1
1043,10,30,6,7,13,11,0,,1
1087,10,45,6,4,13,11,0,,1
1042,10,45,6,4,13,11,0,,1
1086,10,30,6,4,13,11,0,,1
1041,10,20,6,4,13,11,0,,1
1085,10,20,6,4,13,11,0,,1
1040,10,32,6,10,13,11,0,,1
1084,10,40,6,8,13,11,0,,1
1083,10,31,6,6,13,11,0,,1
1082,10,38,6,7,13,11,0,,1
1081,10,8,1,5,13,11,0,,1
1039,10,38,6,11,13,11,0,,1
1038,10,30,6,7,13,11,0,,1
1037,10,21,6,10,13,11,0,,1
1036,10,38,6,6,13,11,0,,1
1035,10,24,6,4,13,11,0,,1
1079,10,8,1,5,13,11,0,,1
1034,10,19,6,9,13,11,0,,1
1078,10,8,1,7,13,11,0,,1
1091,10,25,6,5,13,11,0,,1
1090,10,20,6,8,13,11,0,,1
1055,10,19,6,5,13,11,0,,1
1054,10,38,6,9,13,11,0,,1
1053,10,32,6,8,13,11,0,,1
1096,10,30,6,10,13,11,0,,1
1052,10,25,6,9,13,11,0,,1
1095,10,24,6,8,13,11,0,,1
1051,10,30,6,10,13,11,0,,1
1094,10,32,6,8,13,11,0,,1
1050,10,30,6,5,13,11,0,,1
1093,10,25,6,10,13,11,0,,1
1092,10,20,6,8,13,11,0,,1
1049,10,19,5,12,13,11,0,,1
1048,10,45,6,12,13,11,0,,1
1047,10,38,6,9,13,11,0,,1
1046,10,30,6,11,13,11,0,,1
1045,10,24,6,9,13,11,0,,1
1089,10,19,6,8,13,11,0,,1
