employee,activity,group,priority
241973,70745,3878,5.0
241973,70754,3878,5.0
241973,70590,3878,5.0
241973,70805,3869,3.0
241973,70653,3871,0.0
241973,70756,3878,5.0
241973,70657,3871,0.0
241973,70802,3870,6.0
241973,70751,3878,5.0
241973,70801,3870,6.0
241973,70654,3871,0.0
241973,70614,3869,3.0
241973,70755,3878,5.0
241973,70752,3878,5.0
241973,70649,3871,0.0
241973,70616,3869,3.0
241973,70646,3871,0.0
241973,70843,3877,1.0
241973,70749,3878,5.0
241973,70803,3869,3.0
241973,70655,3871,0.0
241973,70645,3871,0.0
241973,70619,3869,3.0
241973,70613,3869,3.0
241984,70745,3878,5.0
241984,70751,3878,5.0
241984,70801,3870,3.0
241984,70818,3879,3.0
241984,70575,3868,1.0
241984,70755,3878,5.0
241984,70754,3878,5.0
241984,70590,3878,5.0
241984,70752,3878,5.0
241984,70749,3878,5.0
241984,70756,3878,5.0
241984,70802,3870,3.0
241985,70745,3878,0.0
241985,70751,3878,0.0
241985,70801,3870,3.0
241985,70818,3879,1.0
241985,70654,3871,2.0
241985,70755,3878,0.0
241985,70754,3878,0.0
241985,70590,3878,0.0
241985,70752,3878,0.0
241985,70649,3871,2.0
241985,70646,3871,2.0
241985,70843,3877,3.0
241985,70749,3878,0.0
241985,70655,3871,2.0
241985,70645,3871,2.0
241985,70653,3871,2.0
241985,70756,3878,0.0
241985,70657,3871,2.0
241985,70802,3870,3.0
241974,70594,3872,2.0
241974,70745,3878,1.0
241974,70818,3879,4.0
241974,70754,3878,1.0
241974,70590,3878,1.0
241974,70805,3869,4.0
241974,70653,3871,6.0
241974,70756,3878,1.0
241974,70657,3871,6.0
241974,70802,3870,3.0
241974,70751,3878,1.0
241974,70801,3870,3.0
241974,70654,3871,6.0
241974,70614,3869,4.0
241974,70755,3878,1.0
241974,70752,3878,1.0
241974,70649,3871,6.0
241974,70616,3869,4.0
241974,70646,3871,6.0
241974,70843,3877,2.0
241974,70593,3872,2.0
241974,70749,3878,1.0
241974,70803,3869,4.0
241974,70655,3871,6.0
241974,70645,3871,6.0
241974,70619,3869,4.0
241974,70613,3869,4.0
241982,70745,3878,2.0
241982,70754,3878,2.0
241982,70590,3878,2.0
241982,70805,3869,7.0
241982,70653,3871,6.0
241982,70756,3878,2.0
241982,70657,3871,6.0
241982,70751,3878,2.0
241982,70654,3871,6.0
241982,70614,3869,7.0
241982,70755,3878,2.0
241982,70752,3878,2.0
241982,70649,3871,6.0
241982,70616,3869,7.0
241982,70646,3871,6.0
241982,70749,3878,2.0
241982,70803,3869,7.0
241982,70655,3871,6.0
241982,70645,3871,6.0
241982,70619,3869,7.0
241982,70613,3869,7.0
241983,70745,3878,6.0
241983,70596,3876,0.0
241983,70575,3868,2.0
241983,70754,3878,6.0
241983,70590,3878,6.0
241983,70774,3876,0.0
241983,70610,3876,0.0
241983,70723,3874,7.0
241983,70719,3874,7.0
241983,70653,3871,4.0
241983,70724,3874,7.0
241983,70715,3874,7.0
241983,70775,3876,0.0
241983,70756,3878,6.0
241983,70657,3871,4.0
241983,70751,3878,6.0
241983,70654,3871,4.0
241983,70755,3878,6.0
241983,70752,3878,6.0
241983,70649,3871,4.0
241983,70716,3874,7.0
241983,70612,3876,0.0
241983,70646,3871,4.0
241983,70749,3878,6.0
241983,70655,3871,4.0
241983,70645,3871,4.0
241983,70714,3874,7.0
241980,70745,3878,5.0
241980,70818,3879,6.0
241980,70596,3876,5.0
241980,70754,3878,5.0
241980,70590,3878,5.0
241980,70774,3876,5.0
241980,70812,3873,0.0
241980,70610,3876,5.0
241980,70805,3869,5.0
241980,70653,3871,6.0
241980,70775,3876,5.0
241980,70785,3873,0.0
241980,70756,3878,5.0
241980,70811,3873,0.0
241980,70657,3871,6.0
241980,70751,3878,5.0
241980,70654,3871,6.0
241980,70614,3869,5.0
241980,70755,3878,5.0
241980,70752,3878,5.0
241980,70649,3871,6.0
241980,70612,3876,5.0
241980,70616,3869,5.0
241980,70646,3871,6.0
241980,70749,3878,5.0
241980,70803,3869,5.0
241980,70655,3871,6.0
241980,70645,3871,6.0
241980,70788,3873,0.0
241980,70619,3869,5.0
241980,70613,3869,5.0
241981,70745,3878,3.0
241981,70596,3876,3.0
241981,70754,3878,3.0
241981,70590,3878,3.0
241981,70774,3876,3.0
241981,70610,3876,3.0
241981,70653,3871,4.0
241981,70775,3876,3.0
241981,70756,3878,3.0
241981,70657,3871,4.0
241981,70802,3870,2.0
241981,70751,3878,3.0
241981,70801,3870,2.0
241981,70654,3871,4.0
241981,70755,3878,3.0
241981,70752,3878,3.0
241981,70649,3871,4.0
241981,70612,3876,3.0
241981,70646,3871,4.0
241981,70749,3878,3.0
241981,70655,3871,4.0
241981,70645,3871,4.0
241979,70801,3870,7.0
241979,70818,3879,1.0
241979,70788,3873,4.0
241979,70596,3876,1.0
241979,70774,3876,1.0
241979,70812,3873,4.0
241979,70775,3876,1.0
241979,70612,3876,1.0
241979,70785,3873,4.0
241979,70610,3876,1.0
241979,70811,3873,4.0
241979,70802,3870,7.0
241977,70594,3872,3.0
241977,70745,3878,3.0
241977,70596,3876,3.0
241977,70754,3878,3.0
241977,70590,3878,3.0
241977,70774,3876,3.0
241977,70812,3873,1.0
241977,70610,3876,3.0
241977,70653,3871,3.0
241977,70775,3876,3.0
241977,70785,3873,1.0
241977,70756,3878,3.0
241977,70811,3873,1.0
241977,70657,3871,3.0
241977,70802,3870,6.0
241977,70751,3878,3.0
241977,70801,3870,6.0
241977,70654,3871,3.0
241977,70755,3878,3.0
241977,70752,3878,3.0
241977,70649,3871,3.0
241977,70612,3876,3.0
241977,70646,3871,3.0
241977,70593,3872,3.0
241977,70749,3878,3.0
241977,70655,3871,3.0
241977,70645,3871,3.0
241977,70788,3873,1.0
241978,70596,3876,2.0
241978,70774,3876,2.0
241978,70716,3874,6.0
241978,70612,3876,2.0
241978,70610,3876,2.0
241978,70723,3874,6.0
241978,70719,3874,6.0
241978,70724,3874,6.0
241978,70715,3874,6.0
241978,70775,3876,2.0
241978,70714,3874,6.0
241975,70594,3872,1.0
241975,70745,3878,4.0
241975,70751,3878,4.0
241975,70755,3878,4.0
241975,70754,3878,4.0
241975,70590,3878,4.0
241975,70752,3878,4.0
241975,70716,3874,3.0
241975,70593,3872,1.0
241975,70749,3878,4.0
241975,70723,3874,3.0
241975,70719,3874,3.0
241975,70724,3874,3.0
241975,70715,3874,3.0
241975,70756,3878,4.0
241975,70714,3874,3.0
241986,70745,3878,6.0
241986,70818,3879,4.0
241986,70575,3868,3.0
241986,70754,3878,6.0
241986,70590,3878,6.0
241986,70812,3873,2.0
241986,70653,3871,1.0
241986,70785,3873,2.0
241986,70756,3878,6.0
241986,70811,3873,2.0
241986,70657,3871,1.0
241986,70802,3870,3.0
241986,70751,3878,6.0
241986,70801,3870,3.0
241986,70654,3871,1.0
241986,70755,3878,6.0
241986,70752,3878,6.0
241986,70649,3871,1.0
241986,70646,3871,1.0
241986,70749,3878,6.0
241986,70655,3871,1.0
241986,70645,3871,1.0
241986,70788,3873,2.0
241976,70594,3872,3.0
241976,70745,3878,6.0
241976,70818,3879,3.0
241976,70754,3878,6.0
241976,70590,3878,6.0
241976,70653,3871,3.0
241976,70756,3878,6.0
241976,70657,3871,3.0
241976,70802,3870,0.0
241976,70751,3878,6.0
241976,70801,3870,0.0
241976,70654,3871,3.0
241976,70755,3878,6.0
241976,70752,3878,6.0
241976,70649,3871,3.0
241976,70646,3871,3.0
241976,70593,3872,3.0
241976,70749,3878,6.0
241976,70655,3871,3.0
241976,70645,3871,3.0
241987,70745,3878,4.0
241987,70751,3878,4.0
241987,70801,3870,2.0
241987,70818,3879,7.0
241987,70575,3868,3.0
241987,70755,3878,4.0
241987,70754,3878,4.0
241987,70590,3878,4.0
241987,70752,3878,4.0
241987,70812,3873,7.0
241987,70749,3878,4.0
