activity,day,from,to,demand
70575,20241021,00:00,23:59,75
70575,20241022,00:00,23:59,75
70575,20241023,00:00,23:59,75
70575,20241024,00:00,23:59,75
70575,20241025,00:00,23:59,75
70575,20241026,00:00,23:59,75
70575,20241027,00:00,23:59,30
70590,20241022,00:00,23:59,30
70593,20241021,00:00,23:59,30
70593,20241024,00:00,23:59,30
70594,20241021,00:00,23:59,15
70594,20241022,00:00,23:59,15
70594,20241023,00:00,23:59,15
70594,20241024,00:00,23:59,15
70594,20241025,00:00,23:59,15
70594,20241026,00:00,23:59,15
70594,20241027,00:00,23:59,15
70596,20241021,00:00,23:59,15
70596,20241022,00:00,23:59,15
70596,20241023,00:00,23:59,15
70596,20241024,00:00,23:59,15
70596,20241025,00:00,23:59,15
70596,20241026,00:00,23:59,15
70596,20241027,00:00,23:59,15
70605,20241021,00:00,23:59,30
70605,20241023,00:00,23:59,30
70605,20241025,00:00,23:59,30
70610,20241021,00:00,23:59,30
70610,20241022,00:00,23:59,30
70610,20241023,00:00,23:59,30
70610,20241024,00:00,23:59,30
70610,20241025,00:00,23:59,30
70610,20241026,00:00,23:59,30
70612,20241021,00:00,23:59,15
70612,20241022,00:00,23:59,15
70612,20241023,00:00,23:59,15
70612,20241024,00:00,23:59,15
70612,20241025,00:00,23:59,15
70612,20241026,00:00,23:59,15
70612,20241027,00:00,23:59,15
70613,20241021,00:00,23:59,15
70613,20241022,00:00,23:59,15
70613,20241023,00:00,23:59,15
70613,20241024,00:00,23:59,15
70613,20241025,00:00,23:59,15
70613,20241026,00:00,23:59,15
70614,20241021,00:00,23:59,15
70614,20241022,00:00,23:59,15
70614,20241023,00:00,23:59,15
70614,20241024,00:00,23:59,15
70614,20241025,00:00,23:59,15
70614,20241026,00:00,23:59,15
70616,20241021,00:00,23:59,15
70616,20241024,00:00,23:59,15
70619,20241021,00:00,23:59,15
70619,20241022,00:00,23:59,15
70619,20241023,00:00,23:59,15
70619,20241024,00:00,23:59,15
70619,20241025,00:00,23:59,15
70619,20241026,00:00,23:59,15
70619,20241027,00:00,23:59,15
70645,20241021,00:00,23:59,15
70645,20241022,00:00,23:59,15
70645,20241023,00:00,23:59,15
70645,20241024,00:00,23:59,15
70645,20241025,00:00,23:59,15
70645,20241026,00:00,23:59,15
70646,20241021,00:00,23:59,15
70646,20241022,00:00,23:59,15
70646,20241023,00:00,23:59,15
70646,20241024,00:00,23:59,15
70646,20241025,00:00,23:59,15
70646,20241026,00:00,23:59,15
70649,20241021,00:00,23:59,135
70649,20241022,00:00,23:59,210
70649,20241023,00:00,23:59,240
70649,20241024,00:00,23:59,135
70649,20241025,00:00,23:59,135
70649,20241026,00:00,23:59,135
70649,20241027,00:00,23:59,105
70653,20241021,00:00,23:59,75
70653,20241022,00:00,23:59,75
70653,20241023,00:00,23:59,75
70653,20241024,00:00,23:59,75
70653,20241025,00:00,23:59,75
70653,20241026,00:00,23:59,75
70653,20241027,00:00,23:59,75
70654,20241022,00:00,23:59,30
70655,20241021,00:00,23:59,30
70655,20241022,00:00,23:59,30
70655,20241023,00:00,23:59,30
70655,20241024,00:00,23:59,30
70655,20241025,00:00,23:59,30
70655,20241026,00:00,23:59,45
70655,20241027,00:00,23:59,15
70657,20241021,00:00,23:59,15
70657,20241022,00:00,23:59,30
70657,20241023,00:00,23:59,15
70657,20241024,00:00,23:59,15
70657,20241025,00:00,23:59,15
70657,20241026,00:00,23:59,15
70714,20241021,00:00,23:59,15
70714,20241022,00:00,23:59,15
70714,20241023,00:00,23:59,15
70714,20241024,00:00,23:59,15
70714,20241025,00:00,23:59,15
70714,20241026,00:00,23:59,15
70715,20241021,00:00,23:59,15
70715,20241022,00:00,23:59,15
70715,20241023,00:00,23:59,15
70715,20241024,00:00,23:59,15
70715,20241025,00:00,23:59,15
70715,20241026,00:00,23:59,15
70715,20241027,00:00,23:59,15
70716,20241021,00:00,23:59,15
70716,20241022,00:00,23:59,15
70716,20241023,00:00,23:59,15
70716,20241024,00:00,23:59,15
70716,20241025,00:00,23:59,15
70716,20241026,00:00,23:59,15
70716,20241027,00:00,23:59,15
70719,20241021,00:00,23:59,15
70719,20241022,00:00,23:59,15
70719,20241023,00:00,23:59,15
70719,20241024,00:00,23:59,15
70719,20241025,00:00,23:59,15
70719,20241026,00:00,23:59,15
70719,20241027,00:00,23:59,15
70723,20241021,00:00,23:59,75
70723,20241022,00:00,23:59,75
70723,20241023,00:00,23:59,75
70723,20241024,00:00,23:59,60
70723,20241025,00:00,23:59,60
70723,20241026,00:00,23:59,75
70723,20241027,00:00,23:59,45
70724,20241021,00:00,23:59,15
70724,20241022,00:00,23:59,15
70724,20241023,00:00,23:59,15
70724,20241024,00:00,23:59,15
70724,20241025,00:00,23:59,15
70724,20241026,00:00,23:59,15
70745,20241021,00:00,23:59,150
70745,20241023,00:00,23:59,150
70745,20241025,00:00,23:59,150
70749,20241021,00:00,23:59,30
70749,20241022,00:00,23:59,30
70749,20241023,00:00,23:59,30
70749,20241024,00:00,23:59,30
70749,20241025,00:00,23:59,30
70749,20241026,00:00,23:59,30
70751,20241021,00:00,23:59,120
70751,20241022,00:00,23:59,120
70751,20241023,00:00,23:59,120
70751,20241024,00:00,23:59,120
70751,20241025,00:00,23:59,120
70751,20241026,00:00,23:59,120
70751,20241027,00:00,23:59,60
70752,20241021,00:00,23:59,30
70752,20241022,00:00,23:59,30
70752,20241023,00:00,23:59,30
70752,20241024,00:00,23:59,30
70752,20241025,00:00,23:59,30
70752,20241026,00:00,23:59,30
70752,20241027,00:00,23:59,15
70754,20241022,00:00,23:59,90
70755,20241021,00:00,23:59,60
70755,20241022,00:00,23:59,60
70755,20241023,00:00,23:59,60
70755,20241024,00:00,23:59,60
70755,20241025,00:00,23:59,60
70755,20241026,00:00,23:59,60
70756,20241021,00:00,23:59,15
70756,20241022,00:00,23:59,120
70756,20241023,00:00,23:59,510
70756,20241024,00:00,23:59,75
70756,20241025,00:00,23:59,180
70756,20241026,00:00,23:59,615
70774,20241021,00:00,23:59,15
70774,20241022,00:00,23:59,120
70774,20241023,00:00,23:59,15
70774,20241024,00:00,23:59,15
70774,20241025,00:00,23:59,15
70774,20241026,00:00,23:59,15
70774,20241027,00:00,23:59,15
70775,20241021,00:00,23:59,75
70775,20241022,00:00,23:59,105
70775,20241023,00:00,23:59,75
70775,20241024,00:00,23:59,75
70775,20241025,00:00,23:59,105
70775,20241026,00:00,23:59,75
70775,20241027,00:00,23:59,15
70785,20241021,00:00,23:59,15
70785,20241022,00:00,23:59,15
70785,20241023,00:00,23:59,15
70785,20241024,00:00,23:59,15
70785,20241025,00:00,23:59,15
