id,dailyWorkingHours,weeklyWorkingHours,workingDays,maxConsecutiveWorkingDays,maxShiftSpan,minRestBetweenDays,daysSinceLastOff,lastWorkingHour
241985,5,30,6,5,13,11,0,15:15
241973,5,25,6,5,13,11,0,16:15
241974,5,30,6,5,13,11,0,15:00
241975,4,20,6,5,13,11,0,17:00
241976,5,30,6,5,13,11,0,16:30
241977,7,38,6,5,13,11,0,19:15
241978,5,25,6,5,13,11,0,10:45
241979,7,38,6,5,13,11,0,18:00
241980,4,24,6,5,13,11,0,16:15
241981,5,30,6,5,13,11,0,14:45
241982,4,24,6,5,13,11,0,13:30
241983,5,25,6,5,13,11,0,21:30
241984,4,21,6,5,13,11,0,13:30
241986,4,24,6,5,13,11,0,14:00
241987,4,24,6,5,13,11,0,17:15
